symbol,datetime,open,close,high,low,volume,new york time,per_of_change,typical_mult_volume,Cumulative_TPV,Cumulative_Vol,vwap,buy_condition,order_type,instruction,order_time,fill_time,order_id,quantity,asset_type,order_status,Ticker,price,Manual_order_type,Manual_instruction,Manual_order_time,Manual_fill_time,Manual_order_id,Manual_quantity,Manual_asset_type,Manual_order_status,Manual_Ticker,Manual_price,quoteTime,option_id,right,strike,expiration,description,bid,ask,last,total_volume,daysToExpiration,quoteTime_put
TQQQ,2024-08-20 08:55:00,71.48,71.54,71.54,71.47,75.51,2024-08-20 04:55:00,0.098,5400.2235,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:00:00,71.52,71.62,71.63,71.52,131.53,2024-08-20 05:00:00,0.112,9416.232699999999,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:05:00,71.61,71.61,71.62,71.6,58.41,2024-08-20 05:05:00,-0.014,4182.7401,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:10:00,71.62,71.6,71.62,71.59,51.43,2024-08-20 05:10:00,-0.014,3682.559433333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:15:00,71.61,71.74,71.75,71.61,82.95,2024-08-20 05:15:00,0.196,5947.515,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:20:00,71.75,71.69,71.75,71.66,207.4,2024-08-20 05:20:00,-0.07,14870.580000000002,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:25:00,71.69,71.7,71.78,71.68,44.12,2024-08-20 05:25:00,0.014,3164.2864,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:30:00,71.69,71.7,71.7,71.63,72.42,2024-08-20 05:30:00,0.0,5190.8242,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:35:00,71.7,71.74,71.75,71.69,46.91,2024-08-20 05:35:00,0.056,3364.6979333333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:40:00,71.73,71.69,71.75,71.69,34.42,2024-08-20 05:40:00,-0.07,2468.2581999999998,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:45:00,71.66,71.63,71.68,71.63,44.53,2024-08-20 05:45:00,-0.084,3190.4260666666664,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:50:00,71.62,71.62,71.65,71.55,152.21,2024-08-20 05:50:00,-0.014,10899.250733333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 09:55:00,71.65,71.58,71.65,71.57,63.68,2024-08-20 05:55:00,-0.056,4559.487999999999,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:00:00,71.58,71.51,71.58,71.48,99.87,2024-08-20 06:00:00,-0.098,7143.0353,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:05:00,71.52,71.54,71.57,71.5,74.66,2024-08-20 06:05:00,0.042,5340.9275333333335,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:10:00,71.54,71.53,71.56,71.49,71.27,2024-08-20 06:10:00,-0.014,5097.705533333332,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:15:00,71.52,71.53,71.57,71.52,367.86,2024-08-20 06:15:00,0.0,26316.704400000002,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:20:00,71.47,71.55,71.59,71.47,404.11,2024-08-20 06:20:00,0.028,28908.682366666664,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 10:25:00,71.56,71.5,71.56,71.5,207.16,2024-08-20 06:25:00,-0.07,14816.0832,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
